"Tytuł produktu","Kod produktu","Kategoria","Zdjęcie","Dokumentacja produktowa","Opis"
"Czyściwo celulozowe dwuwarstwowe","CRB 861","Artykuły higieniczne, Czyściwa przemysłowe","https://www.forlux.pl/sites/default/files/produkty/crb_861.jpg","","
		długość 191 m

		szerokość 260 mm

		średnica 250 mm

		pakowane po dwie rolki
"
"CZYSTA FUGA","SF 01","Sanitariaty, Mycie gruntowne","https://www.forlux.pl/sites/default/files/produkty/dsc04442_0.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_sf_01_czysta_fuga_16-06-2015_r.pdf, https://www.forlux.pl/sites/default/files/karta_charakterystki/informacja_dotyczaca_zalecen_podczas_uzycia_produktu_sf_01_0.pdf","Czysta Fuga SF 01

Zastosowanie
Forlux SF 01 to silnie skoncentrowany płyn do gruntownego czyszczenia fug.
Działa natychmiast
Jest prosty w użyciu
Nie wymaga szorowania.
Sposób użycia
Mycie fug:
polać brudną fugę rozcieńczonym preparatem w stężeniu 1:1 z wodą, w przypadku bardzo trudnych zabrudzeń należy zastosować odpowiednio większe stężenie,
odczekać około 0,5 minuty, zebrać rozpuszczony brud, a następnie w celu neutralizacji mytej powierzchni dokładnie spłukać wodą.
Uwaga: preparat nie powinien być stosowany do powierzchni szczególnie wrażliwych na środki kwaśne.
W przypadku jakichkolwiek wątpliwości należy wykonać małą próbę wrażliwości mytej powierzchni na ten preparat.

pH 1
 
Dostępne opakowania:
1 l - SF 101
5 l- SF 501

"
"CZYSZCZENIE BASENÓW KĄPIELOWYCH ORAZ POWIERZCHNI PRZYBASENOWYCH","SAB 501","Podłogi, Dezynfekcja, Mycie gruntowne, Powierzchnie zmywalne, Dezynfekcja, Mycie gruntowne, Sanitariaty, Dezynfekcja, Mycie codzienne, Mycie gruntowne, Specjalistyczne, Pielęgnacja, Usuwanie trudnych zabrudzeń","https://www.forlux.pl/sites/default/files/produkty/p1150639.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/sab501_karta_charakterystyki_-_poprawiona_06-06-2018.pdf","MYCIE POWIERZCHNI BASENOWYCH 
ZASTOSOWANIE. Preparat myjący do usuwania zabrudzeń z ​dna i ścian basenu, powierzchni ​przybasenowych, natrysków, umywalek, muszli klozetowych, pisuarów, kabin prysznicowych, ​armatury łazienkowej. Szybko i skutecznie usuwa kamień, rdzę, zacieki wodne i tłuste osady. Nadaje się do czyszczenia takich powierzchni jak: chrom, stal nierdzewna, glazury, terakoty, szkła, ceramiki, plastiku (np. kabiny prysznicowe), doskonale usuwa zanieczyszczenia z fug. ​Nie zawiera kwasu solnego i chloru, nie pozostawia białych plam.​
​DOZOWANIE.​ ​Do codziennego czyszczenia dozować 250 - 300 ml na 10 litrów wody, na silne zabrudzenia stosować środek nierozcieńczony.
SPOSÓB UŻYCIA.​ Stosując do codziennego mycia, przygotowany rozczyn roboczy nanosić ściereczką, gąbką lub mopem, odczekać 5-10 minut, następnie zetrzeć i spłukać wodą. Stosując do silnych zabrudzeń nanosić preparat nie rozcieńczony, pozostawić na 5 minut następnie spłukać wodą. Większe powierzchnie czyścić przy pomocy opryskiwacza.
SKŁAD. < 5% amfoteryczne związki powierzchniowo czynne, "
"Czyszczenie ekranów LCD - LCD 007","LCD 007","Powierzchnie zmywalne, Monitory i ekrany LCD","https://www.forlux.pl/sites/default/files/produkty/lcd_007.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forluc_lcd_06-10-16r.pdf","Zastosowanie:
Preparat do czyszczenia wszystkich typów ekranów:
LCD
plazmowych
monitorów
telewizorów
notebooków
wyświetlaczy cyfrowych
Posiada właściwości antystatyczne.
Produkt gotowy do użycia.
pH 7
Dostępne opakowania:
butelka 100 ml z rozpryskiwaczem - LCD 007
"
"DEZYNFEKCJA BEZ KONIECZNOŚCI SPŁUKIWANIA","FORLUX APD Impuls 75D","Kuchnia, Codzienna dezynfekcja, Podłogi, Dezynfekcja, Powierzchnie zmywalne, Dezynfekcja, Sanitariaty, Dezynfekcja","https://www.forlux.pl/sites/default/files/produkty/img_20190410_151439.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/apd_impuls_75_d-_karta_charakterystyki.pdf","Alkoholowy Płyn Dezynfekcyjny
DEZYNFEKCJA BEZ KONIECZNOŚCI SPŁUKIWANIA
Zawartość substancji czynnych: propan-2-ol 550g/kg, propan-1-ol 100g/kg
Przeznaczenie:
Produkt służy do dezynfekcji metodą natryskową stołów, blatów, klamek, poręczy, powierzchni maszyn, urządzeń i sprzętów stosowanych w zakładach przemysłu spożywczego i gastronomii.
Bez konieczności spłukiwania. Produkt nie jest przeznaczony do stosowania w obszarze medycznym.
Zakres stosowania: profesjonalny oraz powszechny.
Sposób użycia: 
czystą powierzchnię spryskać płynem, a następnie starannie rozprowadzić za pomocą jałowej gazy do całkowitego zwilżenia powierzchni, pozostawić na 2 min, nie spłukiwać.
W czasie 2 minut produkt wykazuje działanie bakteriobójcze oraz grzybobójcze.
W przypadku dezynfekcji powierzchni nie większych niż 2m2 nie ma konieczności dodatkowej wentylacji pomieszczeń.
W pozostałych przypadkach pomieszczenia wietrzyć nie krócej niż 5 minut.
 
Dostepne opakowania:
APD - butelka 1 litr ze spryskiwaczem 
"
"DEZYNFEKCJA BEZ KONIECZNOŚCI SPŁUKIWANIA ","APD Impuls 75D","Kuchnia, Powierzchnie zmywalne, Sanitariaty","","","APD – BEZ KONIECZNOŚCI SPŁUKIWANIA - Alkoholowy Płyn Dezynfekcyjny
Przeznaczenie: 
Produkt służy do dezynfekcji metodą natryskową stołów, blatów, klamek, poręczy, powierzchni maszyn,
urządzeń i sprzętów stosowanych w zakładach przemysłu spożywczego i gastronomii.
Bez konieczności spłukiwania. Produkt nie jest przeznaczony do stosowania w obszarze medycznym.
Zakres stosowania: profesjonalny oraz powszechny.
Sposób użycia: 
Czystą powierzchnię spryskać płynem, a następnie starannie rozprowadzić za pomocą jałowej gazy do całkowitego zwilżenia powierzchni, pozostawić na 2 min, nie spłukiwać.
W czasie 2 minut produkt wykazuje działanie bakteriobójcze oraz grzybobójcze.
W przypadku dezynfekcji powierzchni nie większych niż 2m2 nie ma konieczności dodatkowej wentylacji pomieszczeń.
W pozostałych przypadkach pomieszczenia wietrzyć nie krócej niż 5 minut.
 
Dostepne opakowanie:
APD -75D - 1L butelka ze spryskiwaczem 
"
"Dozownik - butelka 0,25 L","DOZ 25","Dozowniki do chemii, Ręczne dozowanie chemii","https://www.forlux.pl/sites/default/files/produkty/doz_25.jpg","","Butelka do koncentratu o pojemności 0,25 L z dozownikiem
Zastosowanie:
Butelka będąca jednocześnie dozownikiem, posiada wkład powodujący że ściskając dolną jej część, płyn przepływa do góry wypełniając pojemniczek, znajdujący się w przewężeniu jednokierunkowy zawór uniemożliwia powrót płynu do dolnej części butelki. Zawór blokuje również samoistne przepływanie płynu z dolnej części butelki do górnego pojemniczka, dzięki temu można odmierzony płyn wylać do wiadra nie obawiając się przy tym, że z butelki wyleje się pozostały płyn.
Pojemność górnego dozownika wynosi 25 ml.
Podziałka występuje co: 10 ml, 15 ml, 20 ml i 25 ml.

		250 ml - DOZ 25
Obejrzyj również krótki film jak napełniać dozownik wybranym płynem Forlux
 
"
"Dozownik do czterech płynów Forlux Promax 4","DOZ PROMAX 4","Automaty dozujące koncentraty, Dozowniki stacjonarne - naścienne","https://www.forlux.pl/sites/default/files/produkty/doz_promax_4.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/promax_instrukcja_1.jpg_1.zip","Gwarantuje nowoczesną i precyzyjną konstrukcję wszystkich części mechanicznych.
Maksymalna uniwersalność dzięki modułowemu łączeniu elementów
Oszczędność miejsca
Szybka i łatwa instalacja
Dla wszystkich zastosowań związanych z czyszczeniem
Zastosowanie jednego lub wielu rodzajów detergentów
Prędkość przepływu 4, 16 lub 30 l/min. (1, 4 lub 7 GPM)

"
"DOZOWNIK DO MYDŁA W PŁYNIE 1 L. STAL NIERDZEWNA","DOZ MPS1","Dozowniki artykułów higienicznych, Dozowniki do mydeł","https://www.forlux.pl/sites/default/files/produkty/photo_1_1.jpg","","DOZOWNIK DO MYDŁA W PŁYNIE 1 L. STAL NIERDZEWNA

		Pojemność 1 litrl

		Szerokość 13 cm, wysokość 25 cm, głebokość 10 cm.

		Wykonany ze stali nierdzewnej matowej.

		Zamykany na kluczyk
"
"DOZOWNIK DO MYDŁA W PŁYNIE PIANKOWEGO POJ. 1 L","DOZ MPP1","Dozowniki artykułów higienicznych, Dozowniki do mydeł","https://www.forlux.pl/sites/default/files/produkty/photo_0.jpg","","DOZOWNIK DO MYDŁA W PŁYNIE PIANKOWEGO POJ. 1 L

		Pojemność 1 litr

		Szerokość 12 cm, wysokośc 24,5 cm, głebokość 11 cm.

		Tworzywo ABS

		Zamykany na kluczyk.

		Doskonały do mydła piankowego
"
"DOZOWNIK DO MYDŁA W PŁYNIE POJ. 1L","DOZ MP1","Dozowniki artykułów higienicznych, Dozowniki do mydeł","https://www.forlux.pl/sites/default/files/produkty/321.jpg","","DOZOWNIK DO MYDŁA W PŁYNIE POJ. 1L

		Pojemność 1 litrl

		Szerokość 11 cm, wysokość 27,5 cm, głebokość 10 cm.

		Wykonany z tworzywa ABS

		Zamykany na zatrzask.
"
"Dozownik mydła w płynie poj. 0,5L","DOZ MP05","Dozowniki artykułów higienicznych, Dozowniki do mydeł","https://www.forlux.pl/sites/default/files/produkty/doz_mp05.jpg","","
		Pojemność 0,5 litra

		Szerokość 9 cm, wysokość 21 cm, głebokość 10 cm.

		Wykonany z tworzywa ABS

		Zamykany na zatrzask
"
"DOZOWNIK Z PODZIAŁKĄ 150 ML","doz 150","Dozowniki do chemii, Ręczne dozowanie chemii","https://www.forlux.pl/sites/default/files/produkty/photo_34.jpg","","DOZOWNIK Z PODZIAŁKĄ 150 ML
Dozownik z podziałką 150 ml
Podziałka wystepuje co 30 ml, 75 ml, 125 ml i 150 ml
"
"DOZOWNIK ŁOKCIOWY DO MYDŁA ANTYBAKTERYJNEGO POJ. 1L","DOZ MPŁ1","Dozowniki artykułów higienicznych, Dozowniki do mydeł","https://www.forlux.pl/sites/default/files/produkty/photo_2_0.jpg","","DOZOWNIK ŁOKCIOWY DO MYDŁA ANTYBAKTERYJNEGO POJ. 1L

		Pojemność 1litr

		Szerokość 12,5 cm, wysokość 26 cm, głębokość 12 cm

		Wykonany z tworzywa ABS.

		Zamykany na klucz
"
"DŁUGOTRWAŁE ZABEZPIECZANIE I GŁĘBOKIE NABŁYSZCZANIE PŁYT NAGROBKOWYCH","ZZN 09","Podłogi, Impregnaty, Nabłyszczanie podłóg - polimery, Specjalistyczne, Pielęgnacja","https://www.forlux.pl/sites/default/files/produkty/dsc_0046.jpg",""," 
Forlux ZNN 09 jest produktem na bazie uretanów i polimerów akrylowych, zapewniających bardzo wysokość trwałość i idealny połysk pomników i innych powierzchni twardych.
 
Posiada doskonałe właściwości wyrównujące. Powłoka jest odporna na środki dezynfekujące.
Forlux ZZN 09 można stosować na wszystkie rodzaje powierzchni twardych: marmur, kamień sztuczny i naturalny, płytki, lastriko, beton zatarty itp..
Zapewnia trwałą i gładką powłokę ochronną, co gwarantuje doskonały efekt wizualny, ułatwia mycie nagrobków i utrzymanie czystości.
Przed użyciem powłoki zabezpieczająco nabłyszczającej ZZN 09, zaleca się zastosowanie płynu gruntownie myjącego Forlux ZGN 14
Sposób użycia
Na gruntownie umytą, zneutralizowaną i osuszoną powierzchnię, czystą gąbką lub ściereczką nałożyć 2 lub 3 warstwy ZZN 09 
Odczekać minimum 30 minut pomiędzy nałożeniem kolejnych warstw, aż do całkowitego wyschnięcia.
 
Dostępne opakowania
butelka 500 ml ze spryskiwaczem - ZZN 09
"
"EKONOMICZNY ZESTAW SPRZĄTAJĄCY FORLUX","EZS","Sprzęt sprzątający, Zestawy sprzątające","https://www.forlux.pl/sites/default/files/produkty/photo_6.jpg","","EKONOMICZNY ZESTAW SPRZĄTAJĄCY FORLUX
Ekonomiczny zestaw sprzątający Forlux

		wiaderko 16L z przegrodą

		wyciskarka

		mop paskowy
"
"EKSTRAKCYJNE PRANIE WYKŁADZIN - Forlux WN","WN 11","Czyszczenie tkanin, Kolorowe, Mieszane, Podłogi, Pranie wykładzin","https://www.forlux.pl/sites/default/files/produkty/dsc00219.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_wn_11_20-04-2016_r.pdf","Zastosowanie:
Niskopieniący preparat Forlux WN 511 przeznaczony jest do czyszczenia wszelkich rodzajów dywanów i wykładzin tekstylnych. Produkt szybko i skutecznie usuwa różnego rodzaju plamy i zabrudzenia z czyszczonych powierzchni. Zawiera składniki neutralizujące przykre zapachy. Nadaje się do wszystkich typów urządzeń czyszczących metodą ekstrakcyjną (nisko pieniącą).
Sposób użycia:
W zależności od stopnia zabrudzenia stosować rozcieńczenia - zabrudzenia lekkie: 0,25 L na 10 L wody; zabrudzenia średnie: 0,5 L na 10 L wody; zabrudzenia silne: 1L na 10 L wody. Po wlaniu roztworu roboczego do maszyny czyścimy wykładzinę zgodnie z zaleceniami producenta sprzętu.
Skład:
niejonowe związki powierzchniowo czynne < 5 %, rozpuszczalniki rozpuszczalne w wodzie, fosforany < 5%, EDTA < 5%, konserwant: Methylchloroisothiazolinone, Methylisothiazolinone, Dimethylol Glycol, kompozycja zapachowa
pH 11
Dostępne opakowania:
1L - WN 111
5L - WN 511
"
"Emulsja do kokpitów samochodowych - Forlux AK","AK","Samochody, Pielęgnacja","https://www.forlux.pl/sites/default/files/produkty/ak.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/ak.pdf","Zastosowanie:
Super wydajny preparat do pielęgnacji i nabłyszczania kokpitu. Konserwuje wszelkie
	elementy plastikowe i gumowe wewnątrz samochodu. Posiada właściwości antystatyczne,
	zmniejsza możliwość ponownego osadzania się kurzu. Pozostawia powierzchnię lśniącą i
	przyjemnie pachnącą.
Sposób użycia:
Produkt gotowy do użycia. Niewielką ilość emulsji rozpylić na elementy z tworzywa
	sztucznego, drewna, skóry lub materiału skóropodobnego, a następnie przetrzeć ściereczką
	bezpyłową. Nie stosować do mycia szyb, zegarów i ekranów LCD, do których polecamy
	używanie płynów Forlux AntyPara, Forlux ZG i Forlux LCD.
Dostępne opakowanie:

		100 ml - AK
"
